费用名称（中）,费用名称（英文）,缩写,费用发生的服务段,适用的服务(委托类型）,最终由谁收取（供应商),对应的结算费用编码,对应的CW1费用编码,描述（中文）,描述（英文）,是否异常费用,计费单位,对应的财务科目,特殊适用范围说明,父记录
分拨费,,,,,,"OPN073  , OPN073",,,,,,,,基本运输费用
内陆铁路转运费,,,,,,55252,,,,,,,,基本运输费用
多点提/送费,,,,,,TR001014,,,,,,,,基本运输费用
国内空运费,,,,,,55850   ,,,,,,,,基本运输费用
到付运费,,,,,,OP001007,,,,,,,,基本运输费用
回程配货费,,,,,,55081   ,,,,,,,,基本运输费用
异地还拖板费,,,,,,655238,,,,,,,,基本运输费用
支线运费,,,,,,"55783, HY202301",,,,,,,,基本运输费用
其他附加费用,,,,,,,,,,,,,,非跨境运输费用
自有车辆费用,,,,,,,,,,,,,,非跨境运输费用
停车费,,,,,,SEA01119,MVPARK,,,,,,,其他附加费用
油费,,,,,,TRN082  ,,,,,,,,其他附加费用
待时费,,,,,,"TR001010, 7000",WHOVTIME,,,,,,,其他附加费用
押夜费,,,,,,TRN083  ,,,,,,,,其他附加费用
过路过桥费,,,,,,TRN081  ,,,,,,,,其他附加费用
卡车航班服务费,,,,,,55856,,,,,,,,其他附加费用
代驾服务费,,,,,,55313   ,,,,,,,,其他附加费用
车货配载服务费,,,,,,55855   ,,,,,,,,其他附加费用
自有车辆折旧费,,,,,,55162   ,,,,,,,,自有车辆费用
自有车辆保险费,,,,,,55163   ,,,,,,,,自有车辆费用
自有车辆维修保养费,,,,,,55165   ,,,,,,,,自有车辆费用
车辆管理费用,,,,,,TR001001,,,,,,,,自有车辆费用
保险费,,,其他增值服务,保险,,,,,,,,,,
保险费,,,,,,"OPN066  , OPN066",,,,,,,,保险费
关检费用,,,,,,,,,,,,,,
关检常规服务费,,,,,,,,,,,,,,关检费用
保税相关费用,,,,,,,,,,,,,,关检费用
保税核注清单出口费,,,,,,"55256   , 55256",,,,,,,,保税相关费用
保税核注清单申报费,,,,,,55312   ,,,,,,,,保税相关费用
剪锁费,,,,,,55903   ,,,,,,,,保税相关费用
监管区车辆管理费,,,,,,"55159   , 55159",,,,,,,,保税相关费用
